@relation Audio_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 {1,2,}

@data
4.1143,0.18603,0.016199,0.048504,1
2.3131,0.0033587,0.00041904,-0.093179,1
2.4952,0.02041,0.0029821,-0.077624,1
2.8333,0.3717,0.012962,0.042525,1
2.9982,0.31828,0.0035792,0.019502,1
4.0973,0.32246,0.0045249,0.063892,1
5.1475,0.27778,0.016068,0.11127,1
4.3096,0.28474,0.014488,0.07863,1
3.3526,0.15405,0.0017639,-0.012502,1
2.9797,0.0027052,0.0010733,-0.066947,1
2.7942,0.0074587,0.0032149,-0.069232,1
3.3691,0.0025519,0.0033399,-0.048458,1
3.4265,0.083619,0.0023188,-0.026996,1
3.2302,0.020078,0.0071071,-0.042989,1
4.71,0.28236,0.015325,0.094604,1
2.6409,0.0038365,0.00057303,-0.080348,1
2.7859,0.076675,0.0013583,-0.054708,1
3.6091,0.14694,0.0043685,-0.00030404,1
2.6501,0.046641,0.0032587,-0.064501,1
2.9148,0.18538,0.0046786,-0.016223,1
3.2116,0.020489,0.0070644,-0.043658,1
3.5514,0.21231,0.0084499,0.021141,1
2.9493,0.0025957,0.00066899,-0.068794,1
2.9224,0.030771,0.0021363,-0.060113,1
3.5274,0.14585,0.0047982,-0.0029786,1
2.481,0.0022504,0.0026557,-0.083399,1
2.9647,0.059789,0.0017112,-0.051702,1
2.3826,0.0027036,0.0030057,-0.086441,1
3.9074,0.18477,0.013905,0.036537,1
2.746,0.0030868,0.00062466,-0.076466,1
2.6966,0.12776,0.0014343,-0.044765,1
2.8909,0.31463,0.0062162,0.01883,1
2.8233,0.15624,0.0020056,-0.031644,1
3.511,0.049364,0.0039029,-0.03003,1
6.17,1.2224,0.17616,0.6584,1
5.6764,0.50318,0.0070414,0.17476,1
3.4443,0.12626,0.003135,-0.013946,1
5.3307,0.45926,0.017358,0.16729,1
5.3431,0.49417,0.0087878,0.16265,1
6.9954,0.78058,0.074189,0.40733,1
5.7209,0.89454,0.078392,0.39533,1
4.8494,1.2884,0.20183,0.66764,1
4.5638,0.27642,0.0073227,0.074321,1
3.5302,0.18708,0.004525,0.0073401,1
5.2312,0.39265,0.013826,0.14046,1
5.8067,0.21811,0.0072123,0.10627,1
7.0266,0.61203,0.075087,0.36641,1
