@relation Audio-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 {1,2,}

@data
2.6065,0.069188,0.001803,-0.066076,2
2.5591,0.0011557,0.00065204,-0.08707,2
1.9998,0.0027731,0.0013519,-0.10324,2
2.0581,0.0006473,0.00064576,-0.1031,2
2.3707,0.0020358,0.0020441,-0.090525,2
2.9437,0.00098797,0.00047615,-0.075206,2
3.3691,0.0015852,0.001011,-0.060674,2
1.8526,0.0028172,0.00074312,-0.1089,2
2.9606,0.0022049,0.00092829,-0.07361,2
2.7834,0.0033922,0.00088943,-0.078986,2
1.8282,0.0022073,0.0010005,-0.10941,2
2.1308,0.00087836,0.00060497,-0.10081,2
2.2715,0.0050213,0.0051511,-0.087776,2
3.1322,0.00087066,0.00050372,-0.069212,2
3.5327,0.001698,0.0017389,-0.054258,2
1.8874,0.0019159,0.000677,-0.10814,2
1.8704,0.0012148,0.00063886,-0.10892,2
2.3331,0.00095444,0.00068353,-0.094241,2
1.864,0.003107,0.00094973,-0.10813,2
2.025,0.0006048,0.00055174,-0.10432,2
2.4054,0.013095,0.0056196,-0.080668,2
3.262,0.0010388,0.0006332,-0.064838,2
3.3591,0.0022332,0.002369,-0.058587,2
2.2714,0.011001,0.0013902,-0.092434,2
1.4687,0.0013954,0.0012527,-0.12061,2
2.3373,0.0011148,0.0013246,-0.093009,2
2.039,0.0053316,0.0014949,-0.1011,2
1.7251,0.0006831,0.00040441,-0.11406,2
4.6419,0.0020058,0.0038203,-0.01556,2
2.5805,0.00095192,0.00054389,-0.086625,2
3.3894,0.046694,0.0021823,-0.046435,2
2.3084,0.0020237,0.00097403,-0.094269,2
1.9841,0.0016816,0.00087806,-0.1048,2
2.1837,0.0010948,0.0011845,-0.098115,2
1.9807,0.0037904,0.0012798,-0.1037,2
2.1043,0.0004947,0.0004588,-0.10199,2
2.9718,0.0079772,0.0034832,-0.067548,2
2.9035,0.057319,0.00063012,-0.061658,2
3.2145,0.0012939,0.0015469,-0.064772,2
3.2144,0.0012777,0.00069148,-0.066189,2
2.4414,0.062751,0.00097052,-0.07435,2
2.4323,0.001401,0.00052612,-0.091237,2
2.1228,0.0024761,0.0011177,-0.099802,2
1.9553,0.00064827,0.00049996,-0.10661,2
3.1007,0.0091492,0.0039108,-0.062451,2
3.1882,0.00078051,0.00090097,-0.066803,2
2.8963,0.051002,0.0024582,-0.060507,2
3.0106,0.0018258,0.00073804,-0.072434,2
2.5909,0.0018655,0.0007245,-0.085759,2
2.5679,0.0018618,0.00093976,-0.086136,2
2.2146,0.0038072,0.0014371,-0.09602,2
2.0586,0.00079519,0.00044377,-0.10338,2
2.6402,0.0061536,0.003747,-0.078104,2
2.8157,0.0011902,0.00075367,-0.078757,2
2.9384,0.0016806,0.0018922,-0.07286,2
